episode:133 	| reward:827.95 	| took:35.38s 	| avrege:109.85 	| loss:(actor:-11.80, critic:0.03)
episode:134 	| reward:714.10 	| took:31.68s 	| avrege:116.66 	| loss:(actor:-12.42, critic:0.08)
episode:135 	| reward:151.44 	| took:6.69s 	| avrege:117.78 	| loss:(actor:-12.09, critic:2.18)
episode:136 	| reward:467.92 	| took:21.54s 	| avrege:122.06 	| loss:(actor:-13.13, critic:0.03)
episode:137 	| reward:341.64 	| took:14.56s 	| avrege:124.95 	| loss:(actor:-12.75, critic:4.35)
episode:138 	| reward:103.31 	| took:4.29s 	| avrege:125.64 	| loss:(actor:-12.98, critic:0.05)
episode:139 	| reward:496.59 	| took:19.79s 	| avrege:130.33 	| loss:(actor:-13.84, critic:1.86)
episode:140 	| reward:196.99 	| took:7.68s 	| avrege:132.00 	| loss:(actor:-13.57, critic:5.30)
episode:141 	| reward:173.24 	| took:6.87s 	| avrege:133.41 	| loss:(actor:-14.23, critic:0.06)
episode:142 	| reward:114.15 	| took:4.98s 	| avrege:134.21 	| loss:(actor:-13.95, critic:2.19)
episode:143 	| reward:59.30 	| took:2.43s 	| avrege:134.47 	| loss:(actor:-14.31, critic:2.63)
episode:144 	| reward:240.20 	| took:9.50s 	| avrege:136.49 	| loss:(actor:-14.69, critic:2.81)
episode:145 	| reward:306.46 	| took:15.59s 	| avrege:139.08 	| loss:(actor:-14.71, critic:0.05)
episode:146 	| reward:527.53 	| took:23.74s 	| avrege:143.99 	| loss:(actor:-15.13, critic:0.02)
episode:147 	| reward:135.36 	| took:5.21s 	| avrege:145.01 	| loss:(actor:-15.46, critic:5.95)
episode:148 	| reward:160.97 	| took:6.50s 	| avrege:146.26 	| loss:(actor:-15.78, critic:0.10)
episode:149 	| reward:719.15 	| took:28.19s 	| avrege:153.13 	| loss:(actor:-16.18, critic:0.05)
episode:150 	| reward:700.90 	| took:27.34s 	| avrege:159.82 	| loss:(actor:-16.20, critic:0.04)
episode:151 	| reward:249.49 	| took:10.27s 	| avrege:162.05 	| loss:(actor:-16.65, critic:0.13)
episode:152 	| reward:339.29 	| took:13.20s 	| avrege:165.09 	| loss:(actor:-17.20, critic:0.03)
episode:153 	| reward:221.39 	| took:8.76s 	| avrege:166.99 	| loss:(actor:-16.54, critic:3.10)
episode:154 	| reward:158.66 	| took:6.57s 	| avrege:168.28 	| loss:(actor:-17.43, critic:3.39)
episode:155 	| reward:167.16 	| took:6.95s 	| avrege:169.63 	| loss:(actor:-18.40, critic:5.58)
episode:156 	| reward:235.86 	| took:9.19s 	| avrege:171.69 	| loss:(actor:-18.20, critic:0.10)
episode:157 	| reward:427.25 	| took:19.06s 	| avrege:175.65 	| loss:(actor:-18.19, critic:0.06)
episode:158 	| reward:242.62 	| took:10.64s 	| avrege:177.77 	| loss:(actor:-18.10, critic:3.40)
episode:159 	| reward:133.59 	| took:5.37s 	| avrege:178.82 	| loss:(actor:-18.90, critic:0.05)
episode:160 	| reward:72.36 	| took:3.41s 	| avrege:179.20 	| loss:(actor:-18.25, critic:3.90)
episode:161 	| reward:145.11 	| took:6.24s 	| avrege:180.35 	| loss:(actor:-18.83, critic:0.12)
episode:162 	| reward:127.60 	| took:5.21s 	| avrege:181.32 	| loss:(actor:-19.00, critic:4.69)
episode:163 	| reward:259.63 	| took:10.96s 	| avrege:183.59 	| loss:(actor:-19.32, critic:0.08)
